,dataset,rewiring,layer_type,num_iterations,borf_batch_add,borf_batch_remove,sdrf_remove_edges,alpha,eps,test_mean,test_ci,val_mean,val_ci,train_mean,train_ci,energy_mean,energy_ci,last_layer_fa,rewiring_duration,run_duration
0,mutag,goku,GCN,10,4,2,False,0.1,0.001,76.65,0.01726586227212531,80.44444444444443,0.018086213288334048,78.78666666666666,0.005206423383133995,0.0,0.0,False,50.2810435295105,1054.590853691101
0,mutag,goku,GCN,10,4,2,False,0.1,0.001,77.5,0.016583123951777,80.16666666666664,0.016197469700275965,79.26666666666667,0.004507771067833857,0.0,0.0,False,50.88372492790222,1062.2674787044525
0,mutag,goku,GCN,10,4,2,False,0.1,0.001,76.24999999999999,0.019202864369671523,78.83333333333333,0.0172630340809202,78.65999999999998,0.006395818078157703,0.0,0.0,False,52.50134491920471,1081.7840354442596
0,mutag,goku,GCN,10,4,2,False,0.1,0.001,75.64999999999999,0.018146900561803934,82.72222222222221,0.01632199152699839,79.41333333333336,0.005975594810002878,0.0,0.0,False,53.28341794013977,1100.2592816352844
0,mutag,goku,GCN,10,4,2,False,0.1,0.001,77.34999999999998,0.0198219575218998,79.8888888888889,0.018310086271212903,78.76666666666665,0.007474698061534735,0.0,0.0,False,53.889978885650635,1015.6766667366028
0,mutag,goku,GCN,10,4,2,False,0.1,0.001,77.85000000000001,0.018721912295489477,81.94444444444443,0.01709631394825457,80.29333333333334,0.005462827920490346,0.0,0.0,False,51.30725169181824,1082.8174431324005
0,mutag,goku,GCN,10,4,2,False,0.1,0.001,79.55,0.017210171411116162,81.94444444444446,0.015742919239227503,79.8,0.005234076380370807,0.0,0.0,False,56.755133628845215,1052.8930253982544
0,mutag,goku,GCN,10,4,2,False,0.1,0.001,77.1,0.019399999999999997,79.16666666666666,0.015345808129925703,78.57333333333335,0.00884437297570231,0.0,0.0,False,54.4634222984314,1101.186770439148
0,mutag,goku,GCN,10,4,2,False,0.1,0.001,76.85,0.020330027053597346,80.27777777777777,0.015898986690282425,78.46,0.005761774418045576,0.0,0.0,False,54.608293533325195,1653.2939147949219
0,mutag,goku,GCN,10,4,2,False,0.1,0.001,76.54999999999998,0.020034719863277352,78.83333333333331,0.017895098991099055,77.51333333333334,0.007246406005738294,0.0,0.0,False,52.21014618873596,1069.1673142910004
0,mutag,goku,GCN,10,4,2,False,0.1,0.001,80.45000000000003,0.01721017141111616,84.33333333333333,0.015346210373884043,81.76666666666667,0.005546971145489122,0.0,0.0,False,54.53867530822754,1060.4288918972015
0,mutag,goku,GCN,10,4,2,False,0.1,0.001,73.29999999999998,0.02150441815069638,78.55555555555554,0.02030751244560483,74.86666666666666,0.009434687770845059,0.0,0.0,False,54.58828663825989,964.3460729122162
